,title,company,Skills,Job Type
204,Analyst - Investment Banking,Central,"['Accounting/Finance', 'Banking/Financial']",Full-Time
205,Investment Finance Analyst - Private Bank #Citi,Singapore,"['Accounting/Finance', 'Banking/Financial', 'Corporate Finance/Investment']",Full-Time
206,Senior Accountant/Assistant Finance Manager (SG GL),Central,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
207,6 MONTHS CONTRACT FP&A SPECIALIST (CONVERTIBLE),Central,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
208,Accountant,Singapore,"['Accounting/Finance', 'General/Cost Accounting']",Contract
209,APAC FP&A Senior / Manager,Singapore,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
210,Business Analyst,Singapore,"['Sales/Marketing', 'Marketing/Business Dev']",Full-Time
211,ACCOUNTANT (5 Days ),Company Confidential,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
212,"Macroeconomist/Financial Economist - Vice President, #Citi",Singapore,"['Accounting/Finance', 'Banking/Financial', 'Corporate Finance/Investment']",Full-Time
213,"Finance Operations Analyst, P2P",Central,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
214,Project Analyst/Assistant Manager (Construction Finance),Singapore,"['Accounting/Finance', 'General/Cost Accounting', 'Computer/Information Technology', 'IT-Software']",Full-Time
215,Business Analyst (MUST HAVE FINANCIAL BACKGROUND),Central,"['Accounting/Finance', 'General/Cost Accounting', 'Banking/Financial']",Full-Time
216,"AVP, Portfolio Analyst (Retail)",Singapore,"['Accounting/Finance', 'Banking/Financial']",Full-Time
217,"FP&A Manager, South Asia, Cartier",Central,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
218,Balance Sheet Management Lead Analyst - Vice President #Citi,Singapore,"['Accounting/Finance', 'Banking/Financial']",Full-Time
219,"Senior Accountant (2 years contract, convertible to permanent role)",Bukit Merah,"['Accounting/Finance', 'General/Cost Accounting']",Contract
220,MAG FX Quantitative Analyst - (2100006746),Singapore,"['Accounting/Finance', 'Banking/Financial', 'General/Cost Accounting']",Full-Time
221,"Analyst, Treasury",Singapore,"['Accounting/Finance', 'Banking/Financial']",Full-Time
222,Accountant,Central,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
223,Transaction Monitoring Analyst (6 months contract),Singapore,"['Accounting/Finance', 'Banking/Financial']",Contract
224,GF - Balance Sheet Management Lead Analyst - Vice President #Citi,Singapore,"['Accounting/Finance', 'Banking/Financial', 'Corporate Finance/Investment']",Full-Time
225,Research Analyst,Singapore,"['Accounting/Finance', 'Banking/Financial']",Full-Time
226,Accountant,Company Confidential,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
227,Accountant,Jurong East,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
228,Senior Regional Accountant (12 months),Downtown Core,"['Accounting/Finance', 'General/Cost Accounting']",Contract
229,Finance Business Partner,North-East,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
230,Senior Financial Analyst (Regional Reporting/ Business Partnering/ $7000-$9000),West,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
231,"AVP, Risk Analyst, Risk Prevention and Talent Management, Consumer - (2100013J)",Singapore,"['Accounting/Finance', 'Banking/Financial']",Full-Time
232,Cost Executive (West Area),West,"['Accounting/Finance', 'General/Cost Accounting', 'Audit & Taxation']",Full-Time
233,Associate Portfolio Analysis and Monitoring - (2100015409),Singapore,"['Accounting/Finance', 'Banking/Financial']",Full-Time
234,"Manager, Financial Planning & Analysis",Singapore,"['Accounting/Finance', 'Corporate Finance/Investment']",Full-Time
235,Billing Analyst (Japanese speaking),Singapore,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
236,Senior/Project Accountant,North-East,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
237,Infrastructure Senior Tech Analyst #Citi,Singapore,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
238,Investment Banking Analyst #Citi,Singapore,"['Accounting/Finance', 'Corporate Finance/Investment']",Full-Time
239,Business Planning and Analysis Manager,Outram,"['Others', 'Others']",Full-Time
240,"SEA Finance Analyst, Contract",West,"['Accounting/Finance', 'General/Cost Accounting', 'Audit & Taxation']",Contract
241,FP & A Group Manager - Senior Vice President,Singapore,"['Accounting/Finance', 'Corporate Finance/Investment', 'General/Cost Accounting']",Full-Time
242,Accountant,Central,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
243,"Credit Analyst, Financial Institutions Group - (WD20045)",Singapore,"['Accounting/Finance', 'Banking/Financial']",Full-Time
244,Accountant - Construction/Development Finance,Singapore,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
245,Management Accountant,Pioneer,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
