,title,company,Skills,Job Type
246,"Finance Manager (MNC, Goods Based Industry, 85% FP&A)",Singapore,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
247,Accounting Analyst (Manufacturing Ind / MNC),West,"['Accounting/Finance', 'General/Cost Accounting', 'Audit & Taxation']",Full-Time
248,Senior Accountant,Central,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
249,Trade Accountant (Contract Term),Central,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
250,Principal Analyst – Corporate Strategy & Business Development,West,"['Admin/Human Resources', 'Top Management']",Full-Time
251,Senior Accountant,Central,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
252,Accountant,Sembawang,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
253,"Manager, Finance",West,"['Accounting/Finance', 'General/Cost Accounting', 'Audit & Taxation']",Full-Time
254,Financial IT Analyst (Contract),Jurong East,"['Computer/Information Technology', 'IT-Network/Sys/DB Admin']",Full-Time
255,"Accountant (FP&A, Financial Reporting)",Central,"['Accounting/Finance', 'General/Cost Accounting', 'Audit & Taxation']",Full-Time
256,Business Analyst-SHL [EAST /Banking/ Contract]-SL,Central,"['Accounting/Finance', 'Banking/Financial']",Full-Time
257,Regional Finance Analyst - Open to Big 4,Singapore,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
258,"Cost Executive (Up to $3,500)",West,"['Accounting/Finance', 'General/Cost Accounting', 'Audit & Taxation']",Full-Time
259,"Regional Financial Analyst, APAC",Singapore,"['Others', 'Others']",Full-Time
260,"Financial Economist - Assistant Vice President, #Citi",Singapore,"['Accounting/Finance', 'Banking/Financial', 'Corporate Finance/Investment']",Full-Time
261,Business Analysis Sr Manager,Singapore,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
262,Assistant / Accounting Analyst,Singapore,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
263,GF – Asia GCB Technology FP&A Lead (Vice President) #Citi,Singapore,"['Accounting/Finance', 'Banking/Financial', 'Corporate Finance/Investment']",Full-Time
264,Operations Program Management Senior Analyst,Singapore,"['Accounting/Finance', 'Banking/Financial']",Full-Time
265,Director Portfolio Analysis and Monitoring,Singapore,"['Accounting/Finance', 'Banking/Financial']",Full-Time
266,"Analyst, Trade Finance Operations",Straits View,"['Accounting/Finance', 'Banking/Financial']",Full-Time
267,Client Services Analyst,Singapore,"['Sales/Marketing', 'Sales - Financial Services']",Full-Time
268,"Analyst, Project Finance",,"['Accounting/Finance', 'Corporate Finance/Investment']",Full-Time
269,"Lead (FP&A, Food Services)",Jurong West,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
270,Fund Accounting Senior Supervisor- Asset Pricing & Data Operations #Citi,Singapore,"['Accounting/Finance', 'Banking/Financial', 'General/Cost Accounting']",Full-Time
271,Investment Banking Senior Analyst,Singapore,"['Accounting/Finance', 'Corporate Finance/Investment', 'Banking/Financial']",Full-Time
272,"Finance Lead - Management Reporting (Data Management, Tableau/SAP) (ID: 518494)",West,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
273,"Senior Associate/Associate, Financial Analyst, Institutional Banking - (WD20074)",Singapore,"['Accounting/Finance', 'Banking/Financial', 'Computer/Information Technology', 'IT-Software']",Full-Time
274,"Regional Accountant, Asia Growth Markets",", Singapore","['Accounting/Finance', 'General/Cost Accounting']",Full-Time
275,"Junior Business Analyst (Private Bank, SQL/VBA)",Central,"['Accounting/Finance', 'Banking/Financial', 'Admin/Human Resources', 'Clerical/Administrative Support']",Full-Time
276,Delivery Lead - (2100007597),Singapore,"['Accounting/Finance', 'General/Cost Accounting', 'Sales/Marketing', 'Marketing/Business Dev']",Full-Time
277,Accountant/Assistant Accountant,East,"['Accounting/Finance', 'General/Cost Accounting', 'Banking/Financial']",Full-Time
278,"Accountant (Costing, Asset Management, West area)(ID:522179)",Central,"['Accounting/Finance', 'General/Cost Accounting', 'Audit & Taxation']",Full-Time
279,Product Analyst,Central,"['Accounting/Finance', 'Banking/Financial']",Full-Time
280,Business Analysis Senior Analyst,Singapore,"['Accounting/Finance', 'General/Cost Accounting', 'Computer/Information Technology', 'IT-Software']",Full-Time
281,"Associate / Senior Associate , Finance",Central,"['Accounting/Finance', 'General/Cost Accounting', 'Corporate Finance/Investment']",Full-Time
282,Financial Analyst (commodities trading),,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
283,Investment Analyst,Paya Lebar,"['Accounting/Finance', 'Corporate Finance/Investment']",Full-Time
284,Accountant,Singapore,"['Accounting/Finance', 'General/Cost Accounting']",Contract
285,Accountant/ Accountant Manager,Company Confidential,"['Accounting/Finance', 'General/Cost Accounting', 'Corporate Finance/Investment']",Full-Time
286,Accountant,Singapore,"['Accounting/Finance', 'General/Cost Accounting']",Contract
287,Accountant,North-Eastern Islands,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
288,"Business Analyst (MGR/AVP), FI Banks, Global Financial Institutions - (210000BB)",Singapore,"['Accounting/Finance', 'Banking/Financial']",Full-Time
289,Business Analyst,Singapore,"['Computer/Information Technology', 'IT-Software']",Full-Time
290,Group Accountant,Paya Lebar,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
291,Sr. Legal & Client Information Service Analyst,"North, North-East, East, West, Central","['Sales/Marketing', 'Marketing/Business Dev', 'Accounting/Finance', 'Banking/Financial']",Full-Time
292,"Credit Risk Portfolio Lead Analyst, Group Risk Management - (190001QW)",Singapore,"['Accounting/Finance', 'Banking/Financial']",Full-Time
293,VP - Asia TTS O&T Financial Planning and Business Analytics Lead,Singapore,"['Accounting/Finance', 'Banking/Financial', 'Computer/Information Technology', 'IT-Software']",Full-Time
294,Finance Accountant(Revenue Recognition) - 12 Months Contract - Tech Firm,Central,"['Accounting/Finance', 'General/Cost Accounting', 'Audit & Taxation', 'Full-Time']",Contract
295,DCM Analyst - Investment Banking #Citi,Singapore,"['Accounting/Finance', 'Corporate Finance/Investment']",Full-Time
296,BI Analyst (QlikSense),Singapore,"['Computer/Information Technology', 'IT-Software']",Contract
297,Junior Business Analysis (Regulatory Reporting/Treasury) #Citi,Singapore,"['Computer/Information Technology', 'IT-Software']",Full-Time
298,Accountant,Downtown Core,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
299,Loan Operations Analyst - Singapore,Singapore,"['Accounting/Finance', 'Banking/Financial']",Full-Time
